Variable,Variable label
lt_readsit_act_hr_Sum                                                                                                                                                 ,Leisure read and sit active time (hrs/d)
lt_readsit_light_hr_Sum                                                                                                                                       ,Leisure read and sit light time (hrs/d)         
lt_readsit_mod_hr_Sum                                                                                                                                    ,Leisure read and sit moderate time (hrs/d)
lt_readsit_vig_hr_Sum                                                                                                                                              ,Leisure read and sit vigorous time (hrs/d)
lt_readsit_tot_methr_Sum                                                                                                                                      , Total leisure read and sit energy (MET-hrs/d)
                                                                                                                                                                                                                   ,
lt_other_tot_hr_Sum                                                                                                                            ,Total leisure other time (hrs/d)
lt_other_sed_hr_Sum                                                                                                                                                       ,Leisure other sedentary time (hrs/d)
lt_other_act_hr_Sum                                                                                                                                               ,Leisure other active time (hrs/d)
lt_other_light_hr_Sum                                                                                                                                            ,Leisure other light time (hrs/d)
lt_other_mod_hr_Sum                                                                                                                                          ,Leisure other moderate time (hrs/d)
lt_other_vig_hr_Sum                                                                                                                                              ,Leisure other vigorous time (hrs/d)
lt_other_tot_methr_Sum                                                                                                                                            ,Total leisure other energy (MET-hrs/d)
                                                                              ,
